label,text
spam,"Congratulations! You have won a $1000 Walmart gift card. Click here to claim your prize."
ham,"Hi John, just wanted to confirm our meeting tomorrow at 3 PM."
spam,"URGENT: Your account has been compromised. Login immediately to secure your information."
ham,"Hey David, thanks for sending the files. I'll review them tonight."
spam,"You've been selected for a free vacation package! Provide your credit card to reserve."
ham,"Mom said dinner is at 7. Don't be late."
spam,"Work From Home!!! Earn $500 per day with no experience. Sign up now!"
ham,"Here is the photo you requested from the weekend trip."
spam,"Your PayPal account is on hold! Click this link to resolve the issue instantly."
ham,"Professor, attached is my assignment for chapter 5. Thank you."
spam,"You won $5000! Click here!"
ham,"Hi, can you send me the file?"
spam,"Claim your free gift!"
ham,"Meeting at 3pm"
